电影名,年份,上映日期,标签,时长,评分,语言,导演,作者,宣传语,简介
十二怒漢,(1957),1957/04/10 (US),剧情,1h 37m,86,英語,雷金納德·羅斯,西德尼·盧梅特,It explodes like 12 sticks of dynamite!,本片所有場景幾乎都發生在一個小房間內，講述 11 名陪審團如何在另一名持反對意見的陪審團的説服下拋棄成見，以挽救一條性命。
舒特拉的名單,(1993),1994/03/17 (HK),"剧情,历史,战争",3h 15m,86,英語,史提芬·史匹堡,湯瑪斯·簡尼利,"Whoever saves one life, saves the world entire.",電影情節於 1939 年德國發起的猶太大移民開始。那時二戰剛剛打響，克拉科夫周圍的波蘭猶太人被要求到克拉科夫集中。同時，來自摩拉維亞的奧斯卡·舒特拉以一個德國商人的身份，來到這個城市，以求發戰爭財。舒特拉是納粹黨黨員，經常對德意志國防軍和黨衞隊的官員大筆大筆地進行賄賂，以便獲得更多的採購權。舒特拉在軍方的贊助下開辦起軍用餐具廠。他自己並不太瞭解如何經營企業，但後來他遇到了合夥人伊薩克·斯特恩。此人是克拉科夫猶太委員會的官員，熟悉猶太人商人圈子，與該區的黑市有聯繫。猶太商人借給舒特拉辦廠的資金，但只要求獲得較小部分的回報分成。工廠開辦後，舒特拉負責去取悦納粹黨，獲得了「Herr Direktor」的頭銜，斯特恩則負責處理一切管理事務。舒特拉以可以少給工錢為由招聘猶太波蘭人而不要一般波蘭人（其實所謂的「工錢」工人們一分拿不到，全部都要上交給黨衞隊）。舒特拉工廠裏的工人可以走出猶太區。斯特恩費盡心思偽造文書，讓儘量多的人表面上看起來符合「對德國打仗有利」這一條件，獲得進入工廠的資格，免受殘害或被拉到集中營受苦。
年少心事,(2024),2024/09/14 (HK),"剧情,爱情",1h 39m,86,荷蘭語,安東尼·沙特曼,,概覽,在學期間，13 歲的 Elias 與來自布魯塞爾的 14 歲新鄰居 Alexander 成為密友。Alexander 勇於表白愛意，但春心同樣躁動的 Elias 則陷入恐懼和苦惱之中。在謊言漫天紛飛的困惑下，Elias 將 Alexander 拒於門外，同時感到極度孤立；但與爺爺關於愛的力量的一席話後，卻得到激勵而克服內心掙紮，矢志為自己的愛情奮鬥，證明自己值得贏回 Alexander 的愛。
鏈鋸人 - 劇場版：蕾潔篇,(2025),2025/09/25 (HK),"动画,动作,爱情,奇幻",1h 40m,85,日語,吉原達矢,瀨古浩司,"Lost Love, Flower, Chainsaw.",主角澱治曾是黑幫的惡魔獵人，試圖償還父母留下的債務。後來，他被黑幫背叛、殺害，就在瀕死之際，他與電鋸惡魔波奇塔締結了契約，從此化身為無敵的電鋸人！擁有「鏈鋸惡魔」力量的澱治，在與夢中情人真紀真約會後，遇見了在咖啡廳工作的神秘少女蕾潔。兩人展開了一段充滿愛情卻又危機四伏的故事。在惡魔、獵人與隱藏敵人交織的殘酷戰場上，澱治迎來了他迄今為止最致命的挑戰⋯⋯
蝙蝠俠—黑夜之神,(2008),2008/07/17 (HK),"动作,犯罪,惊悚",2h 32m,85,英語,基斯杜化·路蘭,鮑勃·凱恩,俠影出洞 迎戰無法無天,在警長佔哥頓和新檢察官哈菲丹特的幫助下，蝙蝠俠主動出擊，搗破葛鹹城中的邪惡勢力。這個伸張正義的鐵三角組合本來非常成功，但他們將要面對的強勁對手，是一位自稱為「小醜」的可怕狂徒。
千與千尋,(2001),2001/12/13 (HK),"动画,家庭,奇幻",2h 5m,85,日語,宮崎駿,,Beyond the tunnel was a mysterious town.,某一天，年僅 10 歲的荻野千尋跟著父母坐在車上，準備一同前往要搬入的新家。在路途當中，千尋的父親因開錯方向，來到一條有著隧道入口的小徑。千尋的父母在一時好奇心下，帶著她前往隧道裏頭一探究竟。
綠里奇蹟,(1999),2000/03/09 (HK),"奇幻,剧情,犯罪",3h 9m,85,英語,法蘭·達拉本特,史提芬·京,Paul Edgecomb didn't believe in miracles. Until the day he met one.,所謂「綠裏」，是指從監房到死囚之間地面上塗上綠色油漆的路程，獄長保甸多年來曾送過不少死囚走過「綠裏」，但當他押著六尺五寸的黑人哥菲上電椅時，內心卻悲痛莫名。外表孔武有力的哥菲被控謀殺兩名白人姐妹，但保羅看得出他心地善良並擁有神奇力量，令保羅開始質疑哥菲是否被誤判。保羅漸漸發覺奇蹟通常在意料之外的地方發生。
魔戒三部曲：王者再臨,(2003),2003/12/18 (HK),"冒险,奇幻,动作",4h 11m,85,英語,彼得積遜,J·R·R·託爾金,There can be no triumph without loss. No victory without suffering. No freedom without sacrifice.,遠征隊還是分頭努力，一邊是亞拉岡、勒苟拉斯、金霹加上洛汗國的希優頓；另一頭則有梅裏、皮聘見證了薩魯曼位於艾辛格的高塔受到精靈族的摧毀；而佛羅多、山姆則繼續前往末日山脈，咕魯帶他們前往另一段未知的命運。
漂洋過海愛上你,(1995),1995/10/20 (IN),"喜剧,剧情,爱情",3h 10m,85,印地語,Aditya Chopra,,"Come… fall In love, all over again…",當拉傑（沙魯克罕飾）與希姆蘭（卡約兒飾）首次在歐洲的鐵路假日行相遇時，並未徹底一見鍾情。但是當希姆蘭被帶回印度奉命結婚，事情有所改變。在父親達拉姆維爾（亞努潘卡爾飾）的鼓勵下，拉傑決定從倫敦飛過去。他不僅要擄獲新娘和她的全家人的心，還要獲得她父親巴爾德夫辛格（亞姆列殊普利飾）的祝福。
上流寄生族,(2019),2019/06/20 (HK),"喜剧,惊悚,剧情",2h 12m,85,韓語,奉俊昊,韓進元,Act like you own the place.,窮爸爸基澤 (宋康昊 飾) 一家四口全是無業遊民，他們終日望天打卦，直至長子基佑 (崔宇植 飾) 以偽造文憑，成功受聘為神秘富豪 (李善均 飾) 子女的補習老師，這潦倒的一家彷彿重獲生機，「共享」上流人的榮華富貴，但無止境的貧富差距最終令人性失控. . . .
星際啟示錄,(2014),2014/11/06 (HK),"冒险,剧情,科幻",2h 49m,85,英語,基斯杜化·路蘭,尊納頓路蘭,Mankind was born on Earth. It was never meant to die here.,世界在歷經極端氣候與糧食危機，地球瀕臨末日之際，一位電機工程師（馬修麥康納希 Matthew McConaughey 飾）與一群專業研究者還有頂尖太空人（安夏菲慧 Anne Hathaway 飾） ，扛起人類史上最重要的任務，越過已知的銀河，在星際間尋找未來出路。同時必須先割捨無法與家人見面的親情牽絆，在愛與勇氣、生存與挑戰中，跨越星際拯救人類…
你的名字,(2016),2016/11/11 (HK),"动画,爱情,剧情",1h 46m,85,日語,新海誠,,"Separated by distance, connected by fate.",故事發生在日本千年一遇的流星夜後一個月。住在鄉郊的女高中生宮水三葉對這種生活感到枯燥，一直非常嚮往都市生活。「來生要成為東京帥哥！」是她的願望。有一天，她真的夢見自己成為男生。眼前的是一個不熟悉的房間、不認識的朋友，還有她夢寐以求的東京寬闊街道。
危險人物,(1994),1995/03/23 (HK),"惊悚,犯罪,喜剧",2h 34m,85,英語,昆頓·塔倫天奴,羅傑·阿瓦里,You won’t know the facts until you’ve seen the fiction.,幾個擦身而過的人，在黑道世界中交織出微妙錯綜的故事。
¿Quieres ser mi hijo?,(2023),2023/09/21 (US),"喜剧,爱情",1h 40m,84,-,Ihtzi Hurtado,,概覽,"Lu, a conformist woman in her forties, learns that her 15-year partner has been having extramarital affairs. Starting from scratch, she gets involved in an unexpected relationship with a young womanizer."
獨行俠決鬥地獄門,(1966),1968/06/13 (HK),西部,2h 41m,85,意大利語,賽爾喬·萊昂內,盧西亞諾·文森佐尼,For three men the Civil War wasn't hell. It was practice.,美國南北戰爭時期，南方政府埋藏了一批黃金。這個消息恰好被三名主角知道了，然而他們每個人只知道關於埋藏地點的一部分訊息。因此既要合作，又要提防對方獨吞財產。
阿甘正傳,(1994),1994/12/15 (HK),"喜剧,剧情,爱情",2h 22m,85,英語,羅伯特·澤米吉斯,温斯頓·格魯姆,The world will never be the same once you've seen it through the eyes of Forrest Gump.,阿甘自幼與母親相依為命，雖然智商比普通人為低，雙腳亦天生有障礙。但他生性篤實，與世無爭，在母親無微不至照顧下，健康地長大。阿甘的一生可説是平凡中不平凡，他面對每一件事都抱忠誠純真的態度，就是獲甘迺迪總統嘉勉，參加越戰奮勇抗敵，與尼克遜總統相遇，跟約翰聯儂一起接受訪問，在欖球比賽得冠軍，到中國參加世界乒乓球比賽，把捕蝦生意搞成大企業等等，他都是以稚子之心待之。可是，母親的去世和青梅竹馬的珍妮的我行我素性格弄得阿甘好苦，於是他在全美各地跑步解憂，成傳媒爭相報導的對象…
切腹,(1962),1962/09/15 (JP),"动作,剧情,历史",2h 15m,85,-,小林正樹,瀧口康彥,"What befalls others today, may be your own fate tomorrow.",影片根據瀧口康彥的小説《異聞浪人記》改編，圍繞展現武士道精神的終極形式——切腹展開了一個別開生面的故事。影片根據瀧口康彥的小説《異聞浪人記》改編，圍繞展現武士道精神的終極形式——切腹展開了一個別開生面的故事。導演透過 通過這個故事，對武士道精神做了一番討論，批判了所謂武士的體面這種虛假可憎的東西，謳歌了貧困武士堅守尊嚴的精神，同時對他們的不幸生活遭遇表示出深切的同情，揭露出封建社會的黑暗和不公。這是一部構思巧妙、製作精良、發人深省的傑作。本片在戛納電影界上獲得了讚譽，在日本國內贏得了每日電影評選的最佳影片獎，出演半四郎的仲代達矢憑藉此片獲得了數座最佳男主演獎獎盃。
七俠四義,(1954),1954/04/26 (JP),"动作,剧情",3h 27m,85,日語,黑澤明,小國英雄,Unmatched for suspense and spectacle!,日本戰國時代末期，不少武士淪落為作惡多端的山賊。一個村莊的村民，經常遭受野武士搶劫，無意又得知野武士計劃在秋收時來襲，決定到外面尋找武士協助他們抵抗山賊。由於這條村實在太貧窮，只能用收成得來的白米飯做酬勞，長老説要請「肚餓的武士」，但肚餓的武士怎能對抗山賊？不過，這班村民拿著白米飯，居然打動了六位沒有藩屬、俠骨仁心的武士，加上自稱武士之後的菊千代，七人回到村落協助防守。七位武士帶領農民積極備戰，建築防禦、掘成壕溝、整肅隊伍。這段相處期間，武士與農民的各種矛盾逐一湧現，又逐一和解。終於，山賊襲擊的時候來了。七位武士和一眾農民，奮力抵抗山賊，也付出了沉重的代價，武士中包括菊千代在內有四人陣亡。大戰過後，武士們離開村落，武士中的首腦人物勘兵衞不禁感嘆：「這也是場敗仗……羸的並不是武士，而是農民。」
Selena Gomez：聽聽，最真的我,(2022),2022/11/04 (HK),"纪录,音乐",1h 35m,85,英語,阿萊克·凱西西恩,Paul Marchand,把握時時刻刻，衝破人生幽谷。,受公眾關注多年，Selena Gomez大紅大紫，但正當她要再創高峰時，一個意外轉折把她拉進人生低谷。這部紀錄片獨特、真實和私密，以全新角度剖析她這六年來的心路歷程。
盜亦有道,(1990),1990/11/01 (HK),"剧情,犯罪",2h 25m,85,英語,馬田史高西斯,尼古拉斯·皮萊吉,Three decades of life in the mafia.,亨利生長在 20 世紀 50 年代美國紐約市東的布魯克林區，他很小時就開始注意到街口對面的意大利黑幫 Lucchese 家族（Lucchese crime family）。這種關注逐漸地便發展為一種崇拜：小亨利開始渴望有朝一日自己也能成為該家族中的一員。1955 年，小亨利正式退學並開始為家族在當地的一個聚點打雜。此後不久，經過其自身的不懈努力和家族首腦保利 及其合作夥伴吉米 的賞識與栽培，小亨利逐步得到家族成員的信任，並迅速發展成為家族骨幹。
再見螢火蟲,(1988),1988/04/16 (JP),"动画,剧情,战争",1h 29m,84,日語,高畑勳,,Why do fireflies have to die so soon?,美日戰爭爆發，14 歲的清太帶著年幼的妹妹到處逃命，當他們到達防空洞的時候，母親已身受重傷，沒過多久便不久人世。兩兄妹自此過著相依為命的日子。他們只好投靠了母親的姐妹，縱使他們把家裏所有的家當都送給了阿姨，但當食物 ​​吃完，他們就越感到了寄人籬下的感覺，清太決定帶著妹妹離開獨自生活。火災硝煙中的生活並不好過，清太為了妹妹四處偷取食物，但妹妹還是嚴重營養不良……
魔戒首部曲：魔戒現身,(2001),2002/01/31 (HK),"冒险,奇幻,动作",3h 28m,84,英語,彼得積遜,J·R·R·託爾金,One ring to rule them all.,黑暗魔王索倫鑄造了一隻至尊魔戒，神奇力量足以令他征服眾生靈，輾轉被哈比族人佛羅多巴金斯所承繼。佛羅多必須把魔戒丟進它的鑄造地末日山脈的火焰之中，才能徹底摧毀這股黑暗力量。他在一班正義忠心伴侶幫助下組成遠征隊，其中包括哈比族人、人類戰士、巫師、矮人及精靈，途中他們要跟索倫集結的半獸人集團決戰，並要抵擋來自這隻魔戒的邪惡力量所引發的誘惑。一段漫長的正邪之戰，從此展開……
一個快樂的傳説,(1997),1997/12/20 (IT),"喜剧,剧情",1h 56m,84,意大利語,羅貝託·貝尼尼,文森佐·塞拉米,殘酷戰火下 以頑抗宿命 以歡笑活出傳說,圭多是一個心地善良樂觀的猶太青年。他對生活充滿了美好的嚮往。他和好友駕駛破車從鄉間來到阿雷佐小鎮，他的願望是在小鎮開一家屬於自己的書店過著與世無爭的生活。途經一座穀倉塔時，年輕漂亮的女子多拉突然從塔樓上跌落到他的懷中。圭多立刻對她產生了好感。兩人邂逅燃起了心中愛情的火焰。婚後，圭多夢寐以求的書店開業了，他們有了個乖巧可愛的兒子喬舒亞。圭多一家人生活幸福美滿。豈料，在喬舒亞五歲生日這天，納粹分子抓走了父子，強行把他們送往猶太人集中營。
搏擊會,(1999),1999/11/11 (HK),"剧情,惊悚",2h 19m,84,英語,大衞·芬查,恰克·帕拉尼克,Mischief. Mayhem. Soap.,愛德華諾頓飾演一位失眠病患者，讀完大學，找到一份工作，然後買屋，過著沉悶痛苦的刻板生活。直到遇上肥皂推銷員畢彼特，扭轉了他的命運。畢彼特深信自我進步是弱者的行為，只有自我毀滅才活得有價值。他們組成「搏擊會」，會員互相毆打致頭破血流，尋求「真正的生活意義」，並集結，自行重整社會秩序。直至畢彼特癒見走火入魔，終引發出愛德華一段聲嘶力竭的掙紮。
明亮燦爛的你,(2026),2026/05/08 (HK),"剧情,悬疑",1h 54m,84,英語,奧利維亞·紐曼,約翰·惠廷頓,Brighter together.,這部動人的劇情片改編自暢銷小說，描述一名寡婦在小鎮水族館值夜班，和一隻聰明的章魚及一個迷茫的年輕人培養出獨特情誼。
人類啟示錄,(2015),2015/09/12 (FR),纪录,3h 11m,84,法語,楊·亞祖－貝彤,,概覽,集攝影師、記者、環保倡議者於一身的全能導演Yann-Arthus Bertrand完成大自然紀錄片«人類啟示錄»後轉變視角，拷問人性。不同種族，不同語言，不同身世，卻擁有一樣真實的臉，一樣掙扎的人生。紀錄片採訪兩千多人，走遍六十多個國家，內容觸及戰爭、種族、宗教、暴力、性別、賣淫、歧視及仇殺等禁忌話題。一個個經歷過如斯苦難的靈魂赤裸裸的與你對視，毫無掩飾地講述自己的人生，控訴與懺悔交織，淚水與寬恕融匯。生而為人，意義何在？在人生永無盡頭的征途中，也許只有愛才能抵禦一切。
星光伴我心,(1988),1990/01/18 (HK),"剧情,爱情",2h 4m,84,意大利語,基斯比·湯納度,,An enchanted village. A wonderful friendship. Star-crossed lovers. And the magic of the movies.,義大利小男孩多多喜愛電影，在 Cinema Paradiso 戲院流聯忘返。他在戲院跟亦師亦友的老放映師學放映，又在戲院嘗到戀愛的甜蜜和心痛。在多多心中，這間戲院一如其名，像天堂樂園一樣。他也許不知道，他的一生從此與電影分不開。有多少影迷與多多一樣，不知不覺間深陷於對電影的熱愛，人生的不同階段都在戲院找到慰藉？
魔戒二部曲：雙城奇謀,(2002),2003/01/09 (HK),"冒险,奇幻,动作",3h 43m,84,英語,彼得積遜,J·R·R·託爾金,The journey continues.,黑暗魔王索倫鑄造了一隻至尊魔戒，神奇力量足以令他征服眾生靈，輾轉被哈比族人佛羅多巴金斯所承繼。佛羅多必須把魔戒丟進它的鑄造地末日山脈的火焰之中，才能徹底摧毀這股黑暗力量。他在一班正義忠心伴侶幫助下組成遠征隊，其中包括哈比族人、人類戰士、巫師、矮人及精靈，途中他們要跟索倫集結的半獸人集團決戰，並要抵擋來自這隻魔戒的邪惡力量所引發的誘惑。一段漫長的正邪之戰，從此展開. . . . . .
每個人的每件事,(2019),2019/03/10 (US),纪录,1h 55m,84,英語,Sebastian Jones,Ramez Silyan,概覽,本紀錄片近距離刻畫歌手小皮普的崛起，他的音樂揉合各種風格，吸引大批追隨者，最後也定義了他的人生。
無主之城,(2002),2003/05/08 (HK),"剧情,犯罪",2h 9m,84,葡萄牙語,費蘭度·美拿里斯,保羅·林斯,"If you run, the beast catches you; if you stay, the beast eats you.",「天主之城」是最危險的貧民窟，住在這裏的孩子們幾乎人手一槍，進入此區的貨車都難逃被劫的命運，已成了暴力毒品的天堂，聯警察都不願意輕易涉足。導演用超動感的剪輯，呈現片中死亡與鮮血的畫面，配上輕快的森巴背景音樂，彷彿殺人變得合理、犯罪得到快感，加上靈活的運鏡手法，讓人遊走在理性的邊緣，但是又不至迷失人性。
David Attenborough：活在天與地,(2020),2020/09/28 (GB),"纪录,剧情",1h 23m,84,英語,Keith Scholey,艾雷斯泰·法瑟吉爾,概覽,節目主持人講述自己的人生，並回顧地球上的生命演化史，以此悼念消逝的野生棲地，同時分享他對未來的願景。
A Dog's Will,(2000),2000/09/15 (BR),"喜剧,剧情,奇幻,爱情",1h 44m,84,葡萄牙語,蓋爾·阿賴斯,Ariano Suassuna,Lying with faith is not always a sin.,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small town in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise."
羅小黑戰記,(2019),2019/08/27 (CN),"动画,奇幻,动作",1h 42m,84,漢語,木頭,風息,One Small Spirit Will Determine the Fate of the World.,在妖攘的人類世界裏，很多妖精隱瞞其中，他們與人類相安無事地生活著。貓妖羅小黑因為家園被破壞，開始了它的流浪之旅。包容的人類夥伴相繼出現，讓小黑包圍了兩難抉擇，究竟何處才是真正的歸屬？
妙不可言,(2021),2021/06/17 (MX),"家庭,剧情",1h 28m,84,西班牙語,Ernesto Contreras,Estéfani Enríquez Soto,There are encounters that change your life,生活是如此奇妙且難以預測，有時會在最不經意的地方發現幸福：一位七旬老嫗和她的少年鄰居之間產生了深厚的友誼。
觸目驚心,(1960),1961/01/12 (HK),"恐怖,惊悚,悬疑",1h 49m,84,英語,亞弗列·希治閣,羅伯特·布洛克,A new and altogether different screen excitement!,該片講述了瑪莉蓮在浴室中被精神分裂的狂人殺死，之後瑪莉蓮的姐姐和男友加入警方的調查，在逐步偵查下終於揭露狂人殺人真相的故事。
飛越瘋人院,(1975),1975/11/19 (US),剧情,2h 15m,84,英語,米路士·科曼,肯·克西,"In this clean, orderly, disciplined world, who needs guys like McMurphy? Everybody.",劇本改編自一部同名小説，曾獲 1975 年第 48 屆奧斯卡最佳影片，最佳男、女主角，最佳導演和最佳改編劇本五項至尊大獎。據導演所講，這部電影其實是從他由布拉格之春之後鐵幕捷克逃到美國的個人經歷而改編的。這次經歷，使他明白到任何的夢想的實現機會可能不高，但若連這個機會都拋棄的話，這個夢想可實現的機會就只有零。而這種精神，也非常切合美國人一向提倡的美國精神。
Protector,(2026),2026/03/06 (US),"动作,惊悚",1h 30m,84,-,阿德裏安·格魯伯格,Mun-Bong Seub,Never get between a mother and her child.,"Nikki's life is shattered when her daughter is kidnapped. Thrust into the criminal underworld while hunted by cops and military, she must fight to rescue her child."
蜘蛛俠：跳入蜘蛛宇宙,(2018),2018/12/13 (HK),"动画,动作,冒险,科幻",1h 57m,84,英語,洛迪文尼·羅斯曼,菲力洛迪文,Enter a universe where more than one wears the mask.,一個生活在布魯克林的平凡青年麥爾斯 (Miles) 發現自己擁有不尋常力量，徬徨之際，蜘蛛俠彼得柏加 (Peter Parker) 突然現身話要教他做守護城市的蜘蛛俠，麥爾斯先知道原來這個宇宙並不只有一個蜘蛛俠? !
電影版 聲之形,(2016),2017/04/06 (HK),"动画,剧情,爱情",2h 10m,84,日語,山田尚子,吉田玲子,Sometimes the answer is as simple as learning to listen.,最討厭無聊的少年，主角石田將也。小學時曾經是孩子王的他，對弱聽的轉校生．西宮硝子抱有單純的好奇心。她的出現令將也以為無聊的日子終於得到解放，但跟硝子之間發生了某事件之後，將也被同學們孤立排擠。
星球大戰：帝國反擊戰,(1980),1980/08/08 (HK),"冒险,动作,科幻",2h 4m,84,英語,艾榮·卡舒納,勞倫斯·卡斯丹,The Star Wars saga continues.,帝國軍被擊敗後勃然大怒，派出精鋭部隊追擊盟軍，Han Solo 和公主 Leia 在逃亡到雲城時被黑武士擄去。Luke Skywalker 長途拔涉到一神秘星體，尋訪智慧尊者 Yoda，並學曉運用宇宙大能，用以對付黑武士，一場激烈的生死決戰迅速展開。
希望：為愛重生,(2013),2013/10/02 (KR),剧情,2h 2m,84,韓語,李濬益,曹重勳,We won't let her shed tears again.,8 歲的素媛慘遭殘忍性侵，險些喪命之後，全家人努力扶持她療傷，同時也得應對自己的憤怒與悲痛。
哈爾移動城堡,(2004),2005/03/24 (HK),"奇幻,动画,冒险",1h 59m,84,日語,宮崎駿,戴安娜·韋恩·瓊斯,被魔咒變成九十歲的少女，遇上移動城堡的魔法師,18 歲少女蘇菲被荒野女巫的魔咒變成了 90 歲老婆婆，為找尋解除咒語的方法，偶然闖入了四處遊走、充滿機關和魔法的移動城堡，裏面一道魔法門，更可通往四個神奇世界。
Lucy Shimmers and the Prince of Peace,(2020),2020/10/19 (US),"剧情,家庭",1h 27m,84,-,Rob Diamond,,概覽,Second chances start when a hardened criminal crosses paths with a precocious little girl who is helped by an angel to change hearts during the holiday season.
加百列的地獄,(2020),2020/05/29 (US),"爱情,剧情",2h 2m,84,英語,Tosca Musk,Sylvain Reynard,概覽,關於誘惑、禁止的愛情和救贖的有趣探索，一個人試圖掙得不可能的東西：寬恕和愛，這是一個引人入勝和充滿激情的故事，講述了一個人從自己的地獄中逃脱出來
七宗罪,(1995),1995/11/30 (HK),"犯罪,悬疑,惊悚",2h 7m,84,英語,大衞·芬查,安德魯·凱文·沃克,Gluttony. Greed. Sloth. Envy. Wrath. Pride. Lust.,故事從天主教中有 7 種死罪説起，一場離奇的連環殺人案，受害者都是死於這 7 宗罪其中一種。經驗十足的警探 Somerset 努力不懈，終於將這些看似沒有聯繫的命案屢出頭緒。5 宗命案過後，兇手下一個目標是誰？警方不知所措，兇手卻奇跡般自首，此時他的「七宗罪」還差兩宗⋯⋯
天國與地獄,(1963),1963/03/01 (JP),"剧情,犯罪,惊悚,悬疑",2h 22m,84,日語,黑澤明,埃文·亨特,"Stark, intense drama almost beyond belief!","靠自己努力當上鞋業公司高層的權藤，正為公司的事務發愁，不料他司機的兒子進一卻被綁匪誤當成他的兒子綁走，要他交納 3, 000 萬日圓贖金。一開始權藤並不願意交錢給匪徒，因為他為解決公司上的事務急需用錢。後來因救人心切他通過交付贖金救回進一，自己卻被公司內的人排擠出了公司，並落到被債權人追債的地步。後來負責調查此案的警察們不但查出匪徒的身份——竹內，還設計證明瞭竹內用毒品殺死同謀者的犯罪事實，最終竹內被判死刑。臨死前竹內要求見權藤一面，説出了他憎恨有錢人的內心想法。"
鼓動真我,(2014),2014/10/15 (HK),"剧情,音乐,惊悚",1h 47m,84,英語,戴米恩·查素,,是誰教我完美鼓音 是誰逼我挑戰鼓神 不瘋魔 活不成真我!,受寫作事業失敗的父親影響，19 歲 Andrew（米爾斯泰勒
